Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_MITOTIC_SPINDLE,0.2587297570850203,1.0,1.0,0.5558333333333334,0.021,199/199,74.29%,EZR;SPTBN1;CDC42EP2;CDC42EP1;YWHAE;SORBS2;SPTAN1;PDLIM5;WASF1;CNTROB;CTTN;BCAR1;ABL1;PKD2;DST;MYH10;ARHGAP29;FLNB;ARHGAP5;CLIP1;BCR;UXT;FSCN1;SHROOM1;ANLN;ITSN1;RFC1;FGD6;PPP4R2;NOTCH2;FLNA;ALS2;CDC42;GEMIN4;WASL;KIF22;VCL;ARFIP2;KATNB1;PXN;SHROOM2;ARHGAP10;PAFAH1B1;RAB3GAP1;LLGL1;CDC27;TSC1;MARK4;NCK1;KATNA1;ARHGDIA;STAU1;SYNPO;MYO1E;NF1;DYNC1H1;KIF1B;CDC42BPA;TAOK2;ARHGEF12;DLGAP5;KLC1;KPTN;SOS1;CAPZB;RHOT2;CDC42EP4;ARL8A;RICTOR;ARHGEF2;ARHGEF7;TUBGCP5;TUBGCP2;PCM1;BIRC5;KIFAP3;RABGAP1;KIF3C;KIF3B;RALBP1;HOOK3;TRIO;WASF2;CLASP1;RANBP9;CLIP2;MAP1S;DLG1;ARHGEF3;CEP57;LATS1;APC;PLK1;CSNK1D;TUBGCP6;CYTH2;ACTN4;TOP2A;FBXO5;ALMS1;SMC3;CDK5RAP2;ABR;OPHN1;DYNLL2;ARAP3;RACGAP1;PCGF5;ARFGEF1;HDAC6;RASA1;CCNB2;CD2AP;MAP3K11;ATG4B;CEP192;PCNT;KIF5B;TUBD1;CEP250;CKAP5;TUBGCP3;SAC3D1;PIF1;NUMA1;CENPJ;LRPPRC;NCK2;MID1IP1;KIF23;NUSAP1;TTK;MAPRE1;MYO9B;ECT2;TLK1;FARP1;ARHGEF11;PALLD;CEP131;MID1;TPX2;NDC80;ESPL1;KIF4A;PRC1;NIN;CCDC88A;MARCKS;EPB41;SMC1A;KIF11;SSH2;CENPE;ABI1;KIF20B;SUN2;ARF6;BRCA2;KIF15;MYH9;AURKA;EPB41L2;TUBA4A;BIN1;RASA2;AKAP13;ROCK1;DOCK4;RASAL2;CDK1;CENPF;KNTC1;NEK2;BCL2L11;RAPGEF6;SASS6;TBCD;LMNB1;STK38L;CNTRL;INCENP;SMC4;PLEKHG2;RAPGEF5;CEP72;GSN;NEDD9;KIF2C;BUB1;SEPTIN9;ARHGAP27;NET1;FGD4;RHOF;TIAM1;ARHGAP4;DOCK2;PREX1
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.4291804066338326,1.0,1.0,0.5558333333333334,0.021,9/97,3.35%,B2M;C1S;IFITM3;PROCR;HLA-C;IFI27;LY6E;LGALS3BP;IFITM2
prerank,HALLMARK_UV_RESPONSE_DN,0.5266872971735678,1.0,1.0,0.5558333333333334,0.021,36/144,9.73%,MT1E;COL3A1;SERPINE1;ANXA2;EFEMP1;DAB2;CAV1;CDON;RGS4;F3;ADORA2B;PMP22;RND3;PTGFR;GJA1;VLDLR;GCNT1;ITGB3;ID1;ATP2B4;RBPMS;SNAI2;COL5A2;CAP2;PDLIM5;SCN8A;CCN1;TFPI;MET;SMAD3;PTPN21;LPAR1;ACVR2A;BHLHE40;ANXA4;TJP1
prerank,HALLMARK_KRAS_SIGNALING_DN,-0.6002242594097907,-0.9810778978589452,0.681,1.0,1.0,71/198,26.90%,SCGB1A1;IFNG;CALML5;CD40LG;TCL1A;TFF2;MEFV;PNMT;GRID2;ATP6V1B1;CAPN9;UGT2B17;KLHDC8A;CD207;CDH16;SLC12A3;CKM;TEX15;CCR8;SMPX;CALCB;AKR1B10;NOS1;CACNA1F;SLC30A3;COL2A1;KRT1;ACTC1;SLC5A5;SPRR3;PCDHB1;EDAR;BRDT;P2RX6;SLC6A14;WNT16;CACNG1;KCNE2;ALOX12B;FGF16;IRS4;CLDN8;EPHA5;PRODH;MYH7;CLPS;ABCB11;NGB;IL5;KCNQ2;CHRNG;HTR1B;VPREB1;PAX3;PROP1;HTR1D;MYOT;SERPINA10;GP2;CLDN16;EDN1;SIDT1;SHOX2;TNNI3;PLAG1;NR6A1;NR4A2;ADRA2C;TENT5C;TFCP2L1;CELSR2
prerank,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.408755652827564,0.969853622309215,0.6666666666666666,0.6274038461538461,0.025,28/49,17.93%,SOD2;PDLIM1;MGST1;PRDX6;FTL;SRXN1;TXN;GPX4;PRDX4;SELENOS;ATOX1;PRDX2;TXNRD1;PRNP;EGLN2;NQO1;MSRA;SBNO2;HMOX2;ABCC1;SOD1;NDUFB4;GLRX2;LAMTOR5;OXSR1;NDUFA6;ERCC2;G6PD
prerank,HALLMARK_HEME_METABOLISM,-0.546011207732285,-0.8906545521613343,0.955,1.0,1.0,19/198,11.31%,CA1;AHSP;SLC4A1;XK;GYPB;GYPA;KLF1;ALAS2;MYL4;RHAG;GYPE;FTCD;SPTA1;TRIM10;EPB42;GATA1;HBZ;SLC30A10;TSPO2
prerank,HALLMARK_SPERMATOGENESIS,-0.5157305583516445,-0.839932804279386,0.974,1.0,1.0,30/134,27.45%,DPEP3;NOS1;DMRT1;TUBA3C;NAA11;HBZ;SCG3;SYCP1;H1-6;PAPOLB;GRM8;ZPBP;HOXB1;GAPDHS;ACRV1;GPR182;CST8;TSSK2;DDX4;AKAP4;TNP2;MEP1B;GFI1;TNNI3;CLGN;CAMK4;NCAPH;NEFH;YBX2;CCNA1
prerank,HALLMARK_HEDGEHOG_SIGNALING,-0.5256498568702076,-0.8348866001026068,0.9221435793731041,1.0,1.0,15/36,34.02%,NKX6-1;SHH;GLI1;PLG;HEY2;ADGRG1;RTN1;AMOT;CDK5R1;NRP1;NRCAM;CELSR1;SCG2;TLE3;MYH9
prerank,HALLMARK_PEROXISOME,-0.5000146594030354,-0.8126592009333758,0.971,1.0,1.0,7/104,6.06%,SCGB1A1;SULT2B1;ALB;UGT2B17;RXRG;DIO1;NR1I2
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.28207293387914056,0.8024972131920909,1.0,0.9174382716049383,0.038,17/74,10.85%,ACTG1;ANXA5;S100A11;ERRFI1;TNFRSF12A;LGALS3;PNRC1;SEMA3B;GPX8;NFIL3;ALDOC;GNAI1;ETHE1;LSS;CLU;HSD17B7;ANXA13
